Geometry_Section,Atom_Number,Element,X_Angstrom,Y_Angstrom,Z_Angstrom
3,167,C,12.957156,3.428845,3.124453
3,168,C,10.395407,-0.856421,4.411958
3,169,O,9.198569,-1.636216,4.695727
3,170,N,11.716728,-1.468144,4.639661
3,171,H,11.285411,4.57526,4.977455
3,172,H,8.789497,4.317115,5.252359
3,173,H,6.723363,3.989227,3.842398
3,174,H,4.994137,2.275426,2.802796
3,175,H,5.725186,-0.210832,2.384775
3,176,H,8.167656,-0.995183,2.936171
3,177,H,12.515349,-0.67585,2.736471
3,178,H,14.694912,0.522067,1.841514
3,179,H,14.949372,3.125787,2.044613
3,180,H,13.092542,4.546677,3.240249
3,181,H,11.779491,-2.498791,4.992171
3,182,H,12.626782,-0.890658,4.476465
4,1,C,-1.978512,0.941024,1.225851
4,2,C,-1.263913,-0.402759,1.207788
4,3,C,0.25986,-0.510862,1.043368
4,4,C,1.104379,0.725992,0.922363
4,5,C,0.439442,2.066507,0.942207
4,6,C,-1.087173,2.167338,1.082159
4,7,C,2.639088,0.621201,0.779331
4,8,C,3.485623,1.891547,0.6714
4,9,C,2.8155,3.258938,0.711693
4,10,C,1.310766,3.324075,0.824507
4,11,C,4.983066,1.764387,0.365303
4,12,C,5.846642,2.999833,0.283584
4,13,C,5.223322,4.363015,0.433174
4,14,C,3.707614,4.506901,0.621946
4,15,C,7.338963,2.86787,0.045838
4,16,C,8.218677,4.092367,-0.031328
4,17,C,7.607562,5.443911,0.158555
4,18,C,6.134839,5.57765,0.387106
4,19,C,9.695022,3.972974,-0.289561
4,20,C,10.582744,5.20724,-0.572818
4,21,C,9.967972,6.549559,-0.144506
4,22,C,8.509858,6.66499,0.147712
4,23,C,12.045568,5.106972,-0.044001
4,24,C,12.914526,6.247918,-0.660723
4,25,C,12.327007,7.672585,-0.352109
4,26,C,10.874363,7.773305,-0.034849
4,27,C,0.962828,-1.865031,0.984777
4,28,C,2.449747,-1.976361,0.708882
4,29,C,3.288163,-0.735938,0.543445
4,30,C,4.731661,-0.832829,0.163189
4,31,C,5.593685,0.411945,0.165475
4,32,C,7.09117,0.271517,-0.032475
4,33,C,7.958211,1.511317,-0.103353
4,34,C,9.442399,1.389989,-0.299333
4,35,C,10.312504,2.620233,-0.345592
4,36,C,11.816826,2.499028,-0.440166
4,37,C,12.684383,3.71997,-0.316838
4,38,C,14.175869,3.557271,-0.347684
4,39,C,15.052662,4.781809,-0.216516
4,40,C,14.395441,6.118679,-0.227538
4,41,C,3.130774,-3.312564,0.601368
4,42,C,4.576168,-3.417109,0.153756
4,43,C,5.379803,-2.173612,-0.258845
4,44,C,6.860623,-2.340035,0.213554
4,45,C,7.719167,-1.086752,-0.082642
4,46,C,9.206051,-1.212691,-0.36535
4,47,C,10.068428,0.030317,-0.435066
4,48,C,11.550032,-0.075675,-0.603138
4,49,C,12.438798,1.13933,-0.550567
4,50,C,13.940329,0.9793,-0.516045
4,51,C,14.804616,2.190649,-0.395313
4,52,C,16.318094,2.030213,-0.200453
4,53,C,17.202698,3.260893,-0.095796
4,54,C,16.564073,4.618965,-0.090212
4,55,C,5.240206,-4.747882,0.082916
4,56,C,6.62418,-4.884347,-0.575536
4,57,C,7.503488,-3.660617,-0.280674
4,58,C,8.970746,-3.78348,-0.469319
4,59,C,9.832438,-2.555397,-0.532739
4,60,C,11.330815,-2.706975,-0.782229
4,61,C,12.175437,-1.436172,-0.777513
4,62,C,13.675701,-1.617017,-0.541108
4,63,C,14.564539,-0.412289,-0.459608
4,64,C,16.043242,-0.58417,-0.235727
4,65,C,16.935403,0.632089,-0.103593
4,66,C,18.457693,0.462494,0.041502
4,67,C,19.324771,1.683299,0.096711
4,68,C,18.703522,3.067436,0.023956
4,69,C,7.303089,-6.229757,-0.217423
4,70,C,8.776853,-6.398353,-0.33376
4,71,C,9.624061,-5.153771,-0.584289
4,72,C,11.076265,-5.278734,-0.883531
4,73,C,12.011765,-4.060048,-1.02148
4,74,C,13.272938,-4.179985,-0.135077
4,75,C,14.236524,-2.975261,-0.277289
4,76,C,15.730974,-3.13852,-0.112435
4,77,C,16.643088,-1.942533,-0.080652
4,78,C,18.151573,-2.106292,0.12732
4,79,C,19.079908,-0.905864,0.174004
4,80,C,20.605528,-1.081802,0.370253
4,81,C,21.457657,0.146753,0.375433
